id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23801022,Nazaré Lisbon Apartment,178609678,Nazaré M.,Lisboa,So Vicente,38.7182,-9.13347,Entire home/apt,50,3,128,2024-09-29,1.57,1,262,22,66973/AL
23802043,Sintra 23 - apartamento 3 quartos centro histórico,178616666,Alexandra,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.80081,-9.38315,Entire home/apt,172,3,117,2024-11-30,1.46,1,253,26,64714/AL
23804023,Classic Riverside Lisbon Apartment,178202089,Sandra,Lisboa,Parque das Naes,38.77522,-9.09213,Entire home/apt,489,3,145,2024-11-10,1.79,1,332,34,66578/AL
23804803,UNIQUE Clock Tower Suite historic building by LFS,45429583,Habitat,Lisboa,Misericrdia,38.70702,-9.14615,Entire home/apt,143,2,25,2024-10-26,0.31,6,342,5,35521/AL
23805739,São Vicente Heart of Alfama,76223539,Miguel Pedro,Lisboa,Santa Maria Maior,38.7139,-9.12831,Entire home/apt,61,3,177,2024-11-24,2.17,166,345,31,64475/AL
23805934,Nice 1 Bedroom in Avenida de Roma,174887261,SousaPassos,Lisboa,Areeiro,38.74396,-9.13806,Private room,43,4,22,2024-09-11,0.33,18,342,10,87866/AL
23806326,Confortable 1 Bedroom in Avenida de Roma,174887261,SousaPassos,Lisboa,Areeiro,38.74311,-9.13831,Private room,29,4,31,2024-10-21,0.48,18,334,17,87870/AL
23806788,Romantic 1 Suite in Avenida de Roma,174887261,SousaPassos,Lisboa,Areeiro,38.74405,-9.13972,Private room,55,4,4,2024-08-21,0.05,18,7,1,87866/AL
23806993,FLH Baixa Cozy Apartment I,3953109,Feels Like Home,Lisboa,Santa Maria Maior,38.70909881591797,-9.133930206298828,Entire home/apt,74,1,21,2024-07-07,0.26,279,291,3,64726/AL
23808843,FLH Baixa Cozy Apartment II,3953109,Feels Like Home,Lisboa,Santa Maria Maior,38.70909881591797,-9.133930206298828,Entire home/apt,63,1,77,2024-08-22,0.95,279,279,3,64727/AL
23957610,Sunshine Lisbon Room - Picoas 3,125039860,Mario Jorge,Lisboa,Arroios,38.72859,-9.14454,Private room,,2,12,2024-08-31,0.15,5,0,3,20172000330522
23957657,DELUXE room in central Lisbon,179983479,Pedro,Lisboa,Arroios,38.73289,-9.14421,Private room,39,1,68,2024-11-24,0.83,16,356,25,25371/AL
23958061,Sunshine Lisbon Room - Picoas 4,125039860,Mario Jorge,Lisboa,Arroios,38.72794,-9.14456,Private room,65,3,6,2023-07-11,0.08,5,21,0,20172000330522
23958254,RELAX room at SALDANHA,179983479,Pedro,Lisboa,Arroios,38.73272,-9.14287,Private room,37,1,66,2024-11-20,0.81,16,365,8,25371/AL
23959262,Baixa most luminous 3 BDR flat!! Great WI-FI!!!,17457001,Joana,Lisboa,Arroios,38.72203,-9.13543,Entire home/apt,105,2,138,2024-11-01,1.69,52,359,26,66709/AL
23959314,TUKASA,99256788,Rosa Bela,Lisboa,Arroios,38.72939,-9.13448,Entire home/apt,,4,3,2018-07-02,0.04,1,0,0,66430/AL
23970638,Luxurious triplex near the beach in Estoril,163353821,Cristina,Cascais,Cascais e Estoril,38.70599,-9.4084,Entire home/apt,128,3,105,2024-10-28,1.37,1,214,24,76453/AL
